from,to,weight
u6iy9n7v,ttgp5d1q,0
ttgp5d1q,ttgp5d1q,0
rsqgxgj7,ttgp5d1q,1
23mbj83y,ttgp5d1q,1
100,ttgp5d1q,1
w76lz2ap,ttgp5d1q,1
fake0,zo8vfvom,NA
NA,zo8vfvom,NA
fake,zo8vfvom,NA
ny7i65xf,zo8vfvom,-1
0ty8p249,zo8vfvom,-1
wo215i77,zo8vfvom,0
NA,zo8vfvom,NA
we8zkaxp,zo8vfvom,-1
8qy1knb8,zo8vfvom,-1
469aazzl,zo8vfvom,-1
vnnwzoon,zo8vfvom,0
kffjpkwm,zo8vfvom,0
y68rafkq,zo8vfvom,-1
cg5akdum,zo8vfvom,NA
39grl1tb,zo8vfvom,0
cl6iwdzj,zo8vfvom,NA
fyzi3ukn,zo8vfvom,0
lvtt31qo,zo8vfvom,-1
yyx7zv50,zo8vfvom,-1
e1h602xs,zo8vfvom,-1
guoa029e,zo8vfvom,1
xxkx1e1g,zo8vfvom,0
ezfvh1yd,zo8vfvom,0
zan8z6cj,zo8vfvom,-1
isrmkgxn,zo8vfvom,-1
9g3466ce,zo8vfvom,0
ctvn5bcc,zo8vfvom,1
b98i0q0c,zo8vfvom,NA
NA,zo8vfvom,NA
rmdv0zae,zo8vfvom,1
5y5w27n8,zo8vfvom,-1
b98i0q0c,zo8vfvom,NA
e442rd3v,zo8vfvom,-1
gcfrvnrq,zo8vfvom,NA
9njhgqjt,zo8vfvom,NA
b8h8uy0d,zo8vfvom,-1
8qkm4op5,zo8vfvom,-1
NA,zo8vfvom,NA
qtd4nwnf,zo8vfvom,1
tpx46qea,zo8vfvom,-1
js5eao29,zo8vfvom,1
pv34xizl,zo8vfvom,1
zo8vfvom,zo8vfvom,1
nxb120ab,zo8vfvom,0
ywj7r6yv,zo8vfvom,1
ky74qsy5,zo8vfvom,1
u6iy9n7v,zo8vfvom,-1
ttgp5d1q,zo8vfvom,-1
rsqgxgj7,zo8vfvom,1
23mbj83y,zo8vfvom,-1
100,zo8vfvom,0
w76lz2ap,zo8vfvom,1
fake0,299wzuz4,NA
NA,299wzuz4,NA
fake,299wzuz4,NA
ny7i65xf,299wzuz4,-1
0ty8p249,299wzuz4,-1
wo215i77,299wzuz4,1
NA,299wzuz4,NA
we8zkaxp,299wzuz4,-1
8qy1knb8,299wzuz4,-1
469aazzl,299wzuz4,0
vnnwzoon,299wzuz4,-1
kffjpkwm,299wzuz4,1
y68rafkq,299wzuz4,-1
cg5akdum,299wzuz4,NA
39grl1tb,299wzuz4,0
cl6iwdzj,299wzuz4,NA
fyzi3ukn,299wzuz4,1
lvtt31qo,299wzuz4,1
yyx7zv50,299wzuz4,-1
e1h602xs,299wzuz4,-1
guoa029e,299wzuz4,-1
xxkx1e1g,299wzuz4,1
ezfvh1yd,299wzuz4,-1
zan8z6cj,299wzuz4,1
isrmkgxn,299wzuz4,-1
9g3466ce,299wzuz4,0
ctvn5bcc,299wzuz4,1
b98i0q0c,299wzuz4,NA
NA,299wzuz4,NA
rmdv0zae,299wzuz4,-1
5y5w27n8,299wzuz4,-1
b98i0q0c,299wzuz4,NA
e442rd3v,299wzuz4,1
gcfrvnrq,299wzuz4,NA
9njhgqjt,299wzuz4,NA
b8h8uy0d,299wzuz4,-1
8qkm4op5,299wzuz4,0
NA,299wzuz4,NA
qtd4nwnf,299wzuz4,1
tpx46qea,299wzuz4,-1
js5eao29,299wzuz4,1
pv34xizl,299wzuz4,0
zo8vfvom,299wzuz4,1
nxb120ab,299wzuz4,0
ywj7r6yv,299wzuz4,0
ky74qsy5,299wzuz4,-1
u6iy9n7v,299wzuz4,0
ttgp5d1q,299wzuz4,1
rsqgxgj7,299wzuz4,1
23mbj83y,299wzuz4,1
100,299wzuz4,1
w76lz2ap,299wzuz4,0
fake0,m36p5uu7,NA
NA,m36p5uu7,NA
fake,m36p5uu7,NA
ny7i65xf,m36p5uu7,-1
0ty8p249,m36p5uu7,-1
wo215i77,m36p5uu7,-1
NA,m36p5uu7,NA
we8zkaxp,m36p5uu7,-1
8qy1knb8,m36p5uu7,1
469aazzl,m36p5uu7,-1
vnnwzoon,m36p5uu7,1
kffjpkwm,m36p5uu7,0
y68rafkq,m36p5uu7,1
cg5akdum,m36p5uu7,NA
39grl1tb,m36p5uu7,-1
cl6iwdzj,m36p5uu7,NA
fyzi3ukn,m36p5uu7,0
lvtt31qo,m36p5uu7,-1
yyx7zv50,m36p5uu7,0
e1h602xs,m36p5uu7,-1
guoa029e,m36p5uu7,1
xxkx1e1g,m36p5uu7,-1
ezfvh1yd,m36p5uu7,1
zan8z6cj,m36p5uu7,1
isrmkgxn,m36p5uu7,1
9g3466ce,m36p5uu7,1
ctvn5bcc,m36p5uu7,-1
b98i0q0c,m36p5uu7,NA
NA,m36p5uu7,NA
rmdv0zae,m36p5uu7,-1
5y5w27n8,m36p5uu7,-1
b98i0q0c,m36p5uu7,NA
e442rd3v,m36p5uu7,0
gcfrvnrq,m36p5uu7,NA
9njhgqjt,m36p5uu7,NA
b8h8uy0d,m36p5uu7,-1
8qkm4op5,m36p5uu7,1
NA,m36p5uu7,NA
qtd4nwnf,m36p5uu7,1
tpx46qea,m36p5uu7,-1
js5eao29,m36p5uu7,1
pv34xizl,m36p5uu7,0
zo8vfvom,m36p5uu7,-1
nxb120ab,m36p5uu7,1
ywj7r6yv,m36p5uu7,0
ky74qsy5,m36p5uu7,0
u6iy9n7v,m36p5uu7,-1
ttgp5d1q,m36p5uu7,-1
rsqgxgj7,m36p5uu7,1
23mbj83y,m36p5uu7,-1
100,m36p5uu7,0
w76lz2ap,m36p5uu7,0
fake0,qtd4nwnf,NA
NA,qtd4nwnf,NA
fake,qtd4nwnf,NA
ny7i65xf,qtd4nwnf,0
0ty8p249,qtd4nwnf,0
wo215i77,qtd4nwnf,-1
NA,qtd4nwnf,NA
we8zkaxp,qtd4nwnf,-1
8qy1knb8,qtd4nwnf,1
469aazzl,qtd4nwnf,-1
vnnwzoon,qtd4nwnf,1
kffjpkwm,qtd4nwnf,0
y68rafkq,qtd4nwnf,1
cg5akdum,qtd4nwnf,NA
39grl1tb,qtd4nwnf,-1
cl6iwdzj,qtd4nwnf,NA
fyzi3ukn,qtd4nwnf,-1
lvtt31qo,qtd4nwnf,-1
yyx7zv50,qtd4nwnf,-1
e1h602xs,qtd4nwnf,-1
guoa029e,qtd4nwnf,0
xxkx1e1g,qtd4nwnf,0
ezfvh1yd,qtd4nwnf,1
zan8z6cj,qtd4nwnf,0
isrmkgxn,qtd4nwnf,1
9g3466ce,qtd4nwnf,1
ctvn5bcc,qtd4nwnf,-1
b98i0q0c,qtd4nwnf,NA
NA,qtd4nwnf,NA
rmdv0zae,qtd4nwnf,1
5y5w27n8,qtd4nwnf,-1
b98i0q0c,qtd4nwnf,NA
e442rd3v,qtd4nwnf,0
gcfrvnrq,qtd4nwnf,NA
9njhgqjt,qtd4nwnf,NA
b8h8uy0d,qtd4nwnf,1
8qkm4op5,qtd4nwnf,1
NA,qtd4nwnf,NA
qtd4nwnf,qtd4nwnf,NA
tpx46qea,qtd4nwnf,-1
js5eao29,qtd4nwnf,1
pv34xizl,qtd4nwnf,0
zo8vfvom,qtd4nwnf,-1
nxb120ab,qtd4nwnf,1
ywj7r6yv,qtd4nwnf,0
ky74qsy5,qtd4nwnf,-1
u6iy9n7v,qtd4nwnf,-1
ttgp5d1q,qtd4nwnf,-1
rsqgxgj7,qtd4nwnf,1
23mbj83y,qtd4nwnf,-1
100,qtd4nwnf,1
w76lz2ap,qtd4nwnf,-1
fake0,b98i0q0c,NA
NA,b98i0q0c,NA
fake,b98i0q0c,NA
ny7i65xf,b98i0q0c,0
0ty8p249,b98i0q0c,1
wo215i77,b98i0q0c,1
NA,b98i0q0c,NA
we8zkaxp,b98i0q0c,-1
8qy1knb8,b98i0q0c,0
469aazzl,b98i0q0c,0
vnnwzoon,b98i0q0c,0
kffjpkwm,b98i0q0c,1
y68rafkq,b98i0q0c,-1
cg5akdum,b98i0q0c,NA
39grl1tb,b98i0q0c,0
cl6iwdzj,b98i0q0c,NA
fyzi3ukn,b98i0q0c,1
lvtt31qo,b98i0q0c,1
yyx7zv50,b98i0q0c,-1
e1h602xs,b98i0q0c,0
guoa029e,b98i0q0c,-1
xxkx1e1g,b98i0q0c,0
ezfvh1yd,b98i0q0c,-1
zan8z6cj,b98i0q0c,1
isrmkgxn,b98i0q0c,-1
9g3466ce,b98i0q0c,-1
ctvn5bcc,b98i0q0c,-1
b98i0q0c,b98i0q0c,NA
NA,b98i0q0c,NA
rmdv0zae,b98i0q0c,1
5y5w27n8,b98i0q0c,1
b98i0q0c,b98i0q0c,NA
e442rd3v,b98i0q0c,0
gcfrvnrq,b98i0q0c,NA
9njhgqjt,b98i0q0c,NA
b8h8uy0d,b98i0q0c,-1
8qkm4op5,b98i0q0c,0
NA,b98i0q0c,NA
qtd4nwnf,b98i0q0c,-1
tpx46qea,b98i0q0c,0
js5eao29,b98i0q0c,1
pv34xizl,b98i0q0c,1
zo8vfvom,b98i0q0c,1
nxb120ab,b98i0q0c,-1
ywj7r6yv,b98i0q0c,0
ky74qsy5,b98i0q0c,1
u6iy9n7v,b98i0q0c,-1
ttgp5d1q,b98i0q0c,1
rsqgxgj7,b98i0q0c,1
23mbj83y,b98i0q0c,1
100,b98i0q0c,1
w76lz2ap,b98i0q0c,1
fake0,wz29onlw,NA
NA,wz29onlw,NA
fake,wz29onlw,NA
ny7i65xf,wz29onlw,-1
